
# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.124027  5.47462  i
 0.132685  5.14493  i
 0.141343  4.82545  i
 0.150001  4.5162  i
 0.158659  4.21717  i
 0.167317  3.92837  i
 0.175975  3.64979  i
 0.184633  3.38143  i
 0.193291  3.12329  i
 0.201949  2.87537  i
 0.210607  2.63768  i
 0.219265  2.41021  i
 0.227923  2.19296  i
 0.236581  1.98594  i
 0.245239  1.78913  i
 0.253897  1.60255  i
 0.262555  1.4262  i
 0.271213  1.26006  i
 0.279871  1.10415  i
 0.288529  0.958458  i
 0.297187  0.82299  i
 0.305845  0.697745  i
 0.314503  0.582723  i
 0.323161  0.477923  i
 0.331819  0.383346  i
 0.340477  0.298991  i
 0.349135  0.224859  i
 0.357793  0.160949  i
 0.366451  0.107262  i
 0.375109  0.0637973  i
 0.383767  0.0305553  i
 0.392425  0.00753578  i
 0.401083 -0.00526119  i
 0.409742 -0.00783562  i
 0.4184 -0.000187508  i
 0.427058  0.0176831  i
 0.435716  0.0457763  i
 0.444374  0.0840921  i
 0.453032  0.13263  i
 0.46169  0.191391  i
 0.470348  0.260375  i
 0.479006  0.33958  i
 0.487664  0.429009  i
 0.496322  0.52866  i
 0.50498  0.638533  i
 0.513638  0.758629  i
 0.522296  0.888948  i
 0.530954  1.02949  i
 0.539612  1.18025  i
 0.54827  1.34124  i
 0.556928  1.51245  i
 0.565586  1.69388  i
 0.574244  1.88553  i
 0.582902  2.08741  i
 0.59156  2.29951  i
 0.600218  2.52183  i
 0.608876  2.75437  i
 0.617534  2.99714  i
 0.626192  3.25013  i
 0.63485  3.51334  i
 0.643508  3.78678  i
 0.652166  4.07043  i
 0.660824  4.36431  i
 0.669482  4.66841  i
 0.67814  4.98274  i
 0.686798  5.30728  i
 0.695456  5.64205  i
 0.704114  5.98705  i
 0.712772  6.34226  i
 0.72143  6.7077  i
 0.730088  7.08336  i
 0.738746  7.46924  i
 0.747404  7.86534  i
 0.756062  8.27167  i
 0.76472  8.68822  i
 0.773378  9.11499  i
 0.782036  9.55199  i
 0.790694  9.9992  i
 0.799352  10.4566  i
 0.80801  10.9243  i
 0.816668  11.4022  i
 0.825326  11.8903  i
 0.833984  12.3886  i
 0.842642  12.8972  i


# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
-0.117539  18.795  o
-0.106717  18.0279  i
-0.0958941  17.2769  i
-0.0850716  16.5418  i
-0.0742491  15.8226  i
-0.0634266  15.1195  i
-0.0526041  14.4323  i
-0.0417816  13.7611  i
-0.0309591  13.1058  i
-0.0201366  12.4666  i
-0.00931406  11.8433  i
 0.00150845  11.236  i
 0.012331  10.6446  i
 0.0231535  10.0693  i
 0.033976  9.50985  i
 0.0447985  8.96643  i
 0.055621  8.43897  i
 0.0664435  7.92749  i
 0.077266  7.43198  i
 0.0880885  6.95245  i
 0.0989111  6.48888  i
 0.109734  6.04129  i
 0.120556  5.60967  i
 0.131379  5.19403  i
 0.142201  4.79436  i
 0.153024  4.41066  i
 0.163846  4.04293  i
 0.174669  3.69117  i
 0.185491  3.35539  i
 0.196314  3.03558  i
 0.207136  2.73175  i
 0.217959  2.44388  i
 0.228781  2.17199  i
 0.239604  1.91607  i
 0.250426  1.67613  i
 0.261249  1.45216  i
 0.272071  1.24416  i
 0.282894  1.05213  i
 0.293716  0.876074  i
 0.304539  0.715992  i
 0.315361  0.571883  i
 0.326184  0.443746  i
 0.337006  0.331583  i
 0.347829  0.235392  i
 0.358651  0.155173  i
 0.369474  0.0909278  i
 0.380296  0.042655  i
 0.391119  0.0103549  i
 0.401941 -0.00597253  i
 0.412764 -0.0063272  i
 0.423586  0.00929086  i
 0.434409  0.0408816  i
 0.445231  0.0884451  i
 0.456054  0.151981  i
 0.466876  0.23149  i
 0.477699  0.326972  i
 0.488521  0.438426  i
 0.499344  0.565853  i
 0.510166  0.709253  i
 0.520989  0.868626  i
 0.531811  1.04397  i
 0.542634  1.23529  i
 0.553457  1.44258  i
 0.564279  1.66584  i
 0.575102  1.90508  i
 0.585924  2.16029  i
 0.596747  2.43147  i
 0.607569  2.71862  i
 0.618392  3.02175  i
 0.629214  3.34085  i
 0.640037  3.67592  i
 0.650859  4.02697  i
 0.661682  4.39399  i
 0.672504  4.77698  i
 0.683327  5.17594  i
 0.694149  5.59088  i
 0.704972  6.02178  i
 0.715794  6.46867  i
 0.726617  6.93152  i
 0.737439  7.41035  i
 0.748262  7.90515  i
 0.759084  8.41592  i
 0.769907  8.94266  i
 0.780729  9.48538  i
 0.791552  10.0441  i
 0.802374  10.6187  i
 0.813197  11.2094  i
 0.824019  11.816  i
 0.834842  12.4386  i
 0.845664  13.0771  i
 0.856487  13.7316  i
 0.867309  14.4021  i
 0.878132  15.0886  i
 0.888954  15.7911  i
 0.899777  16.5095  i
 0.910599  17.2439  i
 0.921422  17.9942  i
 0.932244  18.7606  o
 0.943067  19.5429  o
 0.953889  20.3412  o


# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
-0.220577  26.8978  o
-0.207049  25.7514  o
-0.193521  24.6299  o
-0.179993  23.5334  o
-0.166465  22.4619  i
-0.152937  21.4153  i
-0.139409  20.3937  i
-0.12588  19.3971  i
-0.112352  18.4254  i
-0.0988242  17.4786  i
-0.085296  16.5568  i
-0.0717679  15.66  i
-0.0582397  14.7881  i
-0.0447116  13.9412  i
-0.0311835  13.1193  i
